,Killed,Month_start,Name,Country,Killed_log
1622,155,9.0,,India,2.1903316981702914
1634,153,9.0,,China P Rep,2.184691430817599
1668,150,7.0,,India,2.1760912590556813
1714,147,9.0,,China P Rep,2.167317334748176
1730,146,9.0,,India,2.164352855784437
1735,145,7.0,,India,2.161368002234975
1763,142,7.0,,India,2.1522883443830563
1764,142,6.0,,India,2.1522883443830563
1766,142,8.0,,Japan,2.1522883443830563
1774,140,11.0,,India,2.146128035678238
1789,139,7.0,,United States,2.143014800254095
1801,137,1.0,,United States,2.1367205671564067
1805,136,7.0,,Japan,2.1335389083702174
1814,135,8.0,,India,2.130333768495006
1815,135,8.0,,India,2.130333768495006
1831,133,7.0,,China P Rep,2.123851640967086
1832,133,6.0,,India,2.123851640967086
1847,131,4.0,,China P Rep,2.1172712956557644
1867,130,6.0,,India,2.113943352306837
1868,130,7.0,,India,2.113943352306837
1869,130,11.0,,India,2.113943352306837
1870,130,8.0,,India,2.113943352306837
1884,130,7.0,,Philippines,2.113943352306837
1896,128,7.0,,China P Rep,2.1072099696478683
1908,127,6.0,,India,2.103803720955957
1916,126,7.0,,India,2.100370545117563
1934,125,10.0,,Philippines,2.0969100130080562
1948,123,8.0,,China P Rep,2.089905111439398
1972,120,6.0,,Bangladesh,2.0791812460476247
1975,120,8.0,,China P Rep,2.0791812460476247
2016,117,6.0,,China P Rep,2.0681858617461617
2056,115,1.0,,United States,2.060697840353612
2061,114,9.0,,Bangladesh,2.0569048513364727
2066,114,9.0,,Japan,2.0569048513364727
2104,111,6.0,,India,2.0453229787866576
2172,106,8.0,,China P Rep,2.0253058652647704
2200,104,7.0,,India,2.0170333392987803
2214,103,5.0,,China P Rep,2.012837224705172
